Job,Skill,KRO Q1 2026 Change,rAthena PR,rAthena / Fork Change,PRO-rathena Status
Abyss Chaser,Abyss Square,—,#10010,3750+(MSM×200)%→4500+(MSM×250)% Matk,Done
Abyss Chaser,Chasing Shot,—,#10010,5000/5250%→6000/6250% ATK,Done
Abyss Chaser,Chain Reaction Shot,—,#10010,13550%→14200%; chasing bonus 700%→1100%,Done
Windhawk,No Limits (Ranger),No longer removed by Dispel/Clearance,—,NoDispell/NoClearance already in status.yml,Done
Windhawk,Calamity Gale,"Duration 60→180s; CD 300→180s; dispel immune; not removed by No Limits",#10012,180s duration/CD + dispel immune; AP 120 from open PR,Done
Windhawk,Gale Storm,"CD 1.5→1.2s; SP 100→120; dmg 9500%→10000%; AoE 11×11→9×9; CON ×5→×10",—,KRO formula + CD/SP in skill_db.yml,Done
Windhawk,Crescive Bolt,"CD 0.15→0.35s; GCD 0.3→0.7s; dmg 3400%→9400%",#10012,KRO formula + AP recovery 2 from open PR,Done
Troubadour/Trouvere,Rhythm Shooting,"CD 0.15→0.35s; dmg 800/1400%→3700/4550%; CON ×3→×5 (×7 on Sound Brand)",—,KRO formula in rhythmshooting.cpp,Done
Troubadour/Trouvere,Metallic Fury,"Rework: 9×9 AoE; CD/GCD up; keeps Sound Brand; dmg & SPL weight changes",—,KRO formula + RecursiveDamageSplash AoE in metallicfury.cpp,Done
Night Watch,The Vigilante at Night,"SP 65→88; gatling AoE 13×13→11×11",—,skill_db SP 88 + gatling splash 11×11 in thevigilanteatnight.cpp,Done
Night Watch,Only One Bullet,"CD 0.3→0.35s; 7550/8300%→16200/18200%",—,KRO formula in onlyonebullet.cpp,Done
Night Watch,Spiral Shooting,"8500/9700%→9700/15400% ATK",—,KRO formula in spiralshooting.cpp,Done
Night Watch,Magazine for One,"1950/2400%→2750/4300% ATK",—,KRO formula in magazineforone.cpp,Done
Night Watch,Wild Fire,"13250/12500%→17500/16500% ATK",—,KRO formula in wildfire.cpp,Done
Night Watch,Basic Grenade,5750%→12000% ATK,—,KRO formula in basicgrenade.cpp,Done
Night Watch,Hasty Fire in the Hole,6750%→9000% ATK,—,KRO formula in hastyfireinthehole.cpp,Done
Shinkiro/Shiranui,Shadow Hunting,4500%→9600% ATK (Lv10),—,KRO formula in shadowhunting.cpp,Done
Shinkiro/Shiranui,Shadow Dance,"CD 0.5→0.4s; SP 65→82; AoE 9×9→7×7; dmg 5900%→8050%",—,KRO damage formula; CD/SP/AoE in skill_db pending,Partial
Shinkiro/Shiranui,Shadow Flash,"Rework: ground target 7×7; crit; range 1→2; dmg & formula changes",—,KRO formula; ground target/crit rework pending,Partial
Shinkiro/Shiranui,Huuma Grasp,2700%→4350% ATK,—,KRO formula in huumashurikengrasp.cpp,Done
Shinkiro/Shiranui,Huuma Construct,"Rework: ground 9×9; range 1→9; dmg buff",—,KRO formula; ground 9×9 targeting pending,Partial
Shinkiro/Shiranui,Red/Cold/Thunder/Golden Cannons,Target rework; range/AoE/SP/dmg changes per cannon,—,KRO damage formulas; ground target rework pending,Partial
Sky Emperor,Power (Taekwon),Damage bonus 85%→100% (Lv5),—,Renewal TK_POWER 20×level = 100% at Lv5,Done
Sky Emperor,Wrath of Sun/Moon/Star,Max bonus cap = skill level × 25%,—,Already min(skillratio; 25×level) in battle.cpp,Done
Sky Emperor,Twinkling Galaxy,"2200%→2800%; duration 4.5→3.5s; interval 0.3→0.5s; SP 84→124",#9988,KRO formula; duration/interval/SP in skill_db pending,Partial
Sky Emperor,Star Cannon,"CD 5→3.5s; dmg 2700%→3000%; duration/hits/AoE/SP changes",#9988,KRO formula; timing/AoE in skill_db pending,Partial
Sky Emperor,Star Light Kick,—,#9988,CD 1→0.75s,Done
Sky Emperor,All in the Sky,"AP 35→70; dmg 23000%→12250%",—,Formula matched KRO; AP 70 in skill_db,Done
Elemental Master,Summon Elementals,—,#9985,Damage taken ÷10,Done
Elemental Master,Psychic Stream,—,"#9985, #10011",CD 2.5→2s; dmg 18500%→21000%; SPL ×5→×12,Done
Elemental Master,Diamond Storm,—,#10011,12500%→15600%; spirit 20800%→21600%,Done
Elemental Master,Terra Drive,—,#10011,Same pattern as Diamond Storm,Done
Soul Ascetic,Talisman of Blue Dragon,"Range 9→11; dmg 7500/8600%→9100/11600%",—,KRO formula; range 11 in skill_db pending,Partial
Soul Ascetic,Talisman of White Tiger,"SP 92→118; dmg 5100/7100%→5400/7400%",—,KRO formula matched; SP in skill_db pending,Partial
Soul Ascetic,Talisman of Red Phoenix,5500/7700%→7450/9650% Matk,—,KRO formula in talismanofredphoenix.cpp,Done
Soul Ascetic,Talisman of Black Tortoise,9400/11550%→10150/12800% Matk,—,KRO formula in talismanofblacktortoise.cpp,Done
Soul Ascetic,Circle of Directions,"AP 25→35; buff no dispel/clearance",—,AP 35 + T_Fifth_God NoDispell in status.yml,Done
Hyper Novice,Double Bowling Bash,"Knockback 2→1 cell; 2650%→3200% ATK",—,KRO formula; Knockback 1 in skill_db,Done
Hyper Novice,Mega Sonic Blow,"CD 0.3→0.35s; 5350%→8400% ATK",—,KRO formula in megasonicblow.cpp,Done
Hyper Novice,Shield Chain Rush,"CD 0.3→0.35s; 5100%→5700% ATK",#9989,KRO formula 5700% at Lv10,Done
Hyper Novice,Spiral Pierce Max,"CD 0.3→0.35s; 4050%→8700% ATK",#9989,KRO formula 8700% at Lv10,Done
Hyper Novice,Hell's Drive,SP 98→115,—,skill_db SP pending,Partial
Hyper Novice,Ground Gravitation,SP 100→120,—,skill_db SP pending,Partial
Hyper Novice,Breaking Limit,"MSB/SPM bonus 70%→100%; DBB/SCR 50%→70%",—,battle.cpp bonuses updated to KRO,Done
Spirit Handler,Chulho Sonic Claw,"Range 9→11; 5650/6450%→12400/15200%",—,KRO formula; range 11 in skill_db pending,Partial
Spirit Handler,Howling of Chulho,SP 68→72,—,skill_db SP pending,Partial
Spirit Handler,Hogogong Strike,SP 72→85,—,skill_db SP pending,Partial
Spirit Handler,Kisul Rampage,AP recovery 3/6→2/4,—,skill_db GiveAp pending,Partial
Spirit Handler,Hyunrok Breeze,"4800/6300%→5900/7400% Matk",—,Formula already matched KRO,Done
Spirit Handler,Hyunrok Cannon,"Range 9→11; SP 74→65; 7350/8500%→11900/14000%",—,KRO formula; range/SP in skill_db pending,Partial
